key	address	annote	author	booktitle	crossref	chapter	doi	edition	editor	eprint	howpublished	institution	journal	month	note	number	organization	pages	publisher	school	series	title	type	url	volume	year
hui2016oxidative	England	 	Hui, Wang  and Young, David A.  and Rowan, Andrew D.  and Xu, Xin  and Cawston, Tim E.  and Proctor, Carole J.	 	 	 	10.1136/annrheumdis-2014-206295	 	 	 	 	 	Annals of the Rheumatic Diseases	February	 	2	 	449-58	 	 	 	Oxidative changes and signalling pathways are pivotal in initiating age-related changes in articular cartilage	 		75	2016
wang2016metabolic	Germany	 	Wang, Xi  and Xiong, Xiaochao  and Sa, Na  and Roje, Sanja  and Chen, Shulin	 	 	 	10.1007/s00253-016-7521-9	 	 	 	 	 	Applied Microbiology and Biotechnology	July	 	13	 	6091-101	 	 	 	Metabolic engineering of enhanced glycerol-3-phosphate synthesis to increase lipid production in Synechocystis sp. PCC 6803	 		100	2016
boiger2016integration	 	 	Boiger, Romana  and Hasenauer, Jan  and Hross, Sabrina  and Kaltenbacher, Barbara	 	 	 	 	 	 	 	 	 	arXiv preprint arXiv:1604.02894	 	 	 	 	 	 	 	 	Integration based profile likelihood calculation for PDE constrained parameter estimation problems	 		 	2016
aurich2016metabotools	 	 	Aurich, Maike K.  and Fleming, Ronan MT  and Thiele, Ines	 	 	 	10.3389/fphys.2016.00327	 	 	 	 	 	arXiv preprint arXiv:1606.02860	 	 	 	 	 	Frontiers Media SA	 	 	MetaboTools: A comprehensive toolbox for analysis of genome-scale metabolic models	 		7	2016
schnoerr2016approximation	 	 	Schnoerr, David  and Sanguinetti, Guido  and Grima, Ramon	 	 	 	 	 	 	 	 	 	arXiv preprint arXiv:1608.06582	 	 	 	 	 	 	 	 	Approximation and inference methods for stochastic biochemical kinetics-a tutorial review	 		 	2016
bayramov2016mathematical	United States	 	Bayramov, Sh K. h. K.	 	 	 	10.1134/S0006297916030111	 	 	 	 	 	Biochemistry (Mosc)	March	 	3	 	284-8	 	 	 	Mathematical Model of Self-Oscillations of Activity of Kai Proteins	 		81	2016
baig2016d	England	 	Baig, Hasan  and Madsen, Jan	 	 	 	10.1093/bioinformatics/btw592	 	 	 	 	 	Bioinformatics	September	 	 	 	 	 	 	 	D-VASim - An Interactive Virtual Laboratory Environment for the Simulation and Analysis of Genetic Circuits	 		 	2016
klarner2016pyboolnet	 	 	Klarner, Hannes  and Streck, Adam  and Siebert, Heike	 	 	 	10.1093/bioinformatics/btw682	 	 	 	 	 	Bioinformatics	 	 	 	 	 	 	 	 	{P}y{B}ool{N}et - A {P}ython Package for the Generation, Analysis and Visualisation of Boolean networks	 	http://bioinformatics.oxfordjournals.org/content/early/2016/10/25/bioinformatics.btw682.abstract	 	2016
misirli2016annotation	England	 	Misirli, Goksel  and Cavaliere, Matteo  and Waites, William  and Pocock, Matthew  and Madsen, Curtis  and Gilfellon, Owen  and Honorato-Zimmer, Ricardo  and Zuliani, Paolo  and Danos, Vincent  and Wipat, Anil	 	 	 	10.1093/bioinformatics/btv660	 	 	 	 	 	Bioinformatics	March	 	6	 	908-17	 	 	 	Annotation of rule-based models with formal semantics to enable creation, analysis, reuse and visualization	 		32	2016
luna2016paxtoolsr	England	 	Luna, Augustin  and Babur, \"{O}zg\"{u}n  and Aksoy, B\"{u}lent Arman  and Demir, Emek  and Sander, Chris	 	 	 	10.1093/bioinformatics/btv733	 	 	 	 	 	Bioinformatics	April	 	8	 	1262-4	 	 	 	PaxtoolsR: pathway analysis in R using Pathway Commons	 		32	2016
bergmann2016piecewise	England	 	Bergmann, Frank T.  and Sahle, Sven  and Zimmer, Christoph	 	 	 	10.1093/bioinformatics/btv759	 	 	 	 	 	Bioinformatics	January	 	10	 	1586-8	 	 	 	Piecewise parameter estimation for stochastic models in {COPASI}	 		32	2016
gomez2016moccasin	 	 	G\'{o}mez, Harold F.  and Hucka, Michael  and Keating, Sarah M.  and Nudelman, German  and Iber, Dagmar  and Sealfon, Stuart {C}.	 	 	 	10.1093/bioinformatics/btw056	 	 	 	 	 	Bioinformatics	February	 	12	 	1905-1906	 	 	 	{MOCCASIN}: converting {MATLAB} {ODE} models to {{SBML}}	 	http://bioinformatics.oxfordjournals.org/content/32/12/1905	32	2016
haydarlou2016bioasf	England	 	Haydarlou, Reza  and Jacobsen, Annika  and Bonzanni, Nicola  and Feenstra, K. Anton  and Abeln, Sanne  and Heringa, Jaap	 	 	 	10.1093/bioinformatics/btw250	 	 	 	 	 	Bioinformatics	June	 	12	 	i60-i69	 	 	 	BioASF: a framework for automatically generating executable pathway models specified in {B}io{P}{A}{X}	 		32	2016
lubitz2016sbtab	England	 	Lubitz, Timo  and Hahn, Jens  and Bergmann, Frank T.  and Noor, Elad  and Klipp, Edda  and Liebermeister, Wolfram	 	 	 	10.1093/bioinformatics/btw179	 	 	 	 	 	Bioinformatics	April	 	16	 	2559-61	 	 	 	SBtab: a flexible table format for data exchange in systems biology	 		32	2016
fan2016means	 	 	Fan, Sisi  and Geissmann, Quentin  and Lakatos, Eszter  and Lukauskas, Saulius  and Ale, Angelique  and Babtie, Ann {C}.  and Kirk, Paul DW  and Stumpf, Michael PH	 	 	 	10.1093/bioinformatics/btw229	 	 	 	 	 	Bioinformatics	September	 	18	 	2863	Oxford University Press	 	 	MEANS: python package for Moment Expansion Approximation, iNference and Simulation	 		32	2016
schwab2016visibool	 	 	Schwab, Julian  and Burkovski, Andre  and Siegle, Lea  and M\"{u}ssel, Christoph  and Kestler, Hans A.	 	 	 	10.1093/bioinformatics/btw661	 	 	 	 	 	Bioinformatics	October	 	 	 	btw661	Oxford University Press	 	 	{V}i{S}i{B}oo{L} - visualization and simulation of Boolean networks with temporal constraints	 		 	2016
kawasaki2016reconstruction	United States	 	Kawasaki, Regiane  and Bara\'{u}na, Rafael A.  and Silva, Artur  and Carepo, Marta S. P.  and Oliveira, Rui  and Marques, Rodolfo  and Ramos, Rommel T. J.  and Schneider, Maria P. {C}.	 	 	 	10.1155/2016/7863706	 	 	 	 	 	BioMed Research International	 	 	 	 	7863706	 	 	 	Reconstruction of the Fatty Acid Biosynthetic Pathway of Exiguobacterium antarcticum B7 Based on Genomic and Bibliomic Data	 		2016	2016
walker2016models	United States	 	Walker, Mark A.  and Madduri, Ravi  and Rodriguez, Alex  and Greenstein, Joseph L.  and Winslow, Raimond L.	 	 	 	10.1016/j.bpj.2015.12.041	 	 	 	 	 	Biophysical Journal	March	 	5	 	1038-43	 	 	 	Models and Simulations as a Service: Exploring the Use of Galaxy for Delivering Computational Models	 		110	2016
matsuoka2016s	Germany	 	Matsuoka, Yu  and Jahan, Nusrat  and Kurata, Hiroyuki	 	 	 	10.1007/s00449-016-1554-4	 	 	 	 	 	Bioprocess and Biosystems Engineering	May	 	5	 	735-46	 	 	 	S-system-based analysis of the robust properties common to many biochemical network models	 		39	2016
gardner2016a	 	 	Gardner, Paul  and Paterson, James M.  and Ghomi, Fatemeh Ashari  and Umu, Sinan Uur U.  and McGimpsey, Stephanie  and Pawlik, Aleksandra	 	 	 	10.1101/092205	 	 	 	 	 	bioRxiv	December	 	 	 	092205	Cold Spring Harbor Labs Journals	 	 	A meta-analysis of bioinformatics software benchmarks reveals that publication-bias unduly influences software accuracy	 		 	2016
koch2016predicting	England	 	Koch, Sabine  and Benndorf, Dirk  and Fronk, Karen  and Reichl, Udo  and Klamt, Steffen	 	 	 	10.1186/s13068-016-0429-x	 	 	 	 	 	Biotechnol Biofuels	 	 	 	 	17	 	 	 	Predicting compositions of microbial communities from stoichiometric models with applications for the biogas process	 		9	2016
castillo2016whole	England	 	Castillo, Sandra  and Barth, Dorothee  and Arvas, Mikko  and Pakula, Tiina M.  and Pitk\"{a}nen, Esa  and Blomberg, Peter  and Seppanen-Laakso, Tuulikki  and Nygren, Heli  and Sivasiddarthan, Dhinakaran  and Penttil\"{a}, Merja  and Oja, Merja	 	 	 	10.1186/s13068-016-0665-0	 	 	 	 	 	Biotechnol Biofuels	 	 	 	 	252	 	 	 	Whole-genome metabolic model of Trichoderma reesei built by comparative reconstruction	 		9	2016
thompson2016exploring	England	 	Thompson, R. Adam  and Dahal, Sanjeev  and Garcia, Sergio  and Nookaew, Intawat  and Trinh, Cong T.	 	 	 	10.1186/s13068-016-0607-x	 	 	 	 	 	Biotechnol Biofuels	 	 	1	 	194	 	 	 	Exploring complex cellular phenotypes and model-guided strain design with a novel genome-scale metabolic model of Clostridium thermocellum DSM 1313 implementing an adjustable cellulosome	 		9	2016
spiesser2016the	Germany	 	Spiesser, Thomas  and K\"{u}hn, Clemens  and Krantz, Marcus  and Klipp, Edda	 	 	 	10.1002/biot.201500344	 	 	 	 	 	Biotechnology Journal	March	 	9	 	1158-68	 	 	 	The MYpop toolbox: Putting yeast stress responses in cellular context on single cell and population scales	 		11	2016
paroni2016cabernet	England	 	Paroni, Andrea  and Graudenzi, Alex  and Caravagna, Giulio  and Damiani, Chiara  and Mauri, Giancarlo  and Antoniotti, Marco	 	 	 	10.1186/s12859-016-0914-z	 	 	 	 	 	BMC Bioinformatics	February	 	 	 	64	 	 	 	CABeRNET: a {C}ytoscape app for augmented Boolean models of gene regulatory NETworks	 		17	2016
domijan2016pettsy	England	 	Domijan, Mirela  and Brown, Paul E.  and Shulgin, Boris V.  and Rand, David A.	 	 	 	10.1186/s12859-016-0972-2	 	 	 	 	 	BMC Bioinformatics	March	 	 	 	124	 	 	 	PeTTSy: a computational tool for perturbation analysis of complex systems biology models	 		17	2016
rodriguez2016the	 	 	Rodriguez, Nicolas  and Pettit, Jean-Baptiste -. B. and Pezze, Piero Dalle  and Li, Lu  and Henry, Arnaud  and Iersel, Martijn P. van  and Jalowicki, Gael  and Kutmon, Martina  and Natarajan, Kedar N.  and Tolnay, David  and Stefan, Melanie {I}.  and Evelo, Chris T.  and Nov\`{e}re, Nicolas Le	 	 	 	10.1186/s12859-016-1000-2	 	 	 	 	 	BMC Bioinformatics	April	 	1	 	1	BioMed Central	 	 	The systems biology format converter	 		17	2016
kuntal2016compnet	England	 	Kuntal, Bhusan K.  and Dutta, Anirban  and Mande, Sharmila S.	 	 	 	10.1186/s12859-016-1013-x	 	 	 	 	 	BMC Bioinformatics	April	 	1	 	185	 	 	 	CompNet: a GUI based tool for comparison of multiple biological interaction networks	 		17	2016
spiro2016estgt	England	 	Spiro, Adam  and Shapiro, Ehud	 	 	 	10.1186/s12859-016-1004-y	 	 	 	 	 	BMC Bioinformatics	April	 	1	 	187	 	 	 	eSTGt: a programming and simulation environment for population dynamics	 		17	2016
mendes2016mminte	England	 	Mendes-Soares, Helena  and Mundy, Michael  and Soares, Luis Mendes  and Chia, Nicholas	 	 	 	10.1186/s12859-016-1230-3	 	 	 	 	 	BMC Bioinformatics	September	 	1	 	343	 	 	 	MMinte: an application for predicting metabolic interactions among the microbial species in a community	 		17	2016
toure2016ston	 	 	Tour\'{e}, Vasundra  and Mazein, Alexander  and Waltemath, Dagmar  and Balaur, Irina  and Saqi, Mansoor  and Henkel, Ron  and Pellet, Johann  and Auffray, Charles	 	 	 	10.1186/s12859-016-1394-x	 	 	 	 	 	BMC Bioinformatics	December	 	1	 	494	BioMed Central	 	 	{STON}: exploring biological pathways using the {SBGN} standard and graph databases	 		17	2016
bulik2016the	England	 	Bulik, Sascha  and Holzh\"{u}tter, Hermann-Georg G. and Berndt, Nikolaus	 	 	 	10.1186/s12915-016-0237-6	 	 	 	 	 	BMC Biology	March	 	 	 	15	 	 	 	The relative importance of kinetic mechanisms and variable enzyme abundances for the regulation of hepatic glucose metabolism--insights from mathematical modeling	 		14	2016
van2016living	 	 	van Eunen, Karen  and Volker-Touw, Catharina ML  and Gerding, Albert  and Bleeker, Aycha  and Wolters, Justina {C}.  and van Rijt, Willemijn J.  and Martines, Anne-Claire MF -. {C}. M. and Niezen-Koning, Klary E.  and Heiner, Rebecca M.  and Permentier, Hjalmar	 	 	 	10.1186/s12915-016-0327-5	 	 	 	 	 	BMC Biology	 	 	1	 	107	BioMed Central	 	 	Living on the edge: substrate competition explains loss of robustness in mitochondrial fatty-acid oxidation disorders	 		14	2016
ferrarini2016insights	England	 	Ferrarini, Mariana G.  and Siqueira, Franciele M.  and Mucha, Scheila G.  and Palama, Tony L.  and Jobard, \'{E}lodie  and Elena-Herrmann, B\'{e}n\'{e}dicte  and R Vasconcelos, Ana T.  and Tardy, Florence  and Schrank, Irene S.  and Zaha, Arnaldo  and Sagot, Marie-France F.	 	 	 	10.1186/s12864-016-2644-z	 	 	 	 	 	BMC Genomics	May	 	 	 	353	 	 	 	Insights on the virulence of swine respiratory tract mycoplasmas through genome-scale metabolic modeling	 		17	2016
peterson2016genome	 	 	Peterson, Joseph R.  and Thor, ShengShee  and Kohler, Lars  and Kohler, Petra RA  and Metcalf, William W.  and Luthey-Schulten, Zaida	 	 	 	10.1186/s12864-016-3219-8	 	 	 	 	 	BMC Genomics	 	 	1	 	924	BioMed Central	 	 	Genome-wide gene expression and {RNA} half-life measurements allow predictions of regulation and metabolic behavior in Methanosarcina acetivorans	 		17	2016
droste2016path2enet	 	 	Droste, Conrad  and De Las Rivas, Javier	 	 	 	10.1186/s12864-016-3066-7	 	 	 	 	 	BMC Genomics	October	 	S8	 	 	Springer Nature	 	 	Path2enet: generation of human pathway-derived networks in an expression specific context	 		17	2016
ouzounoglou2016differentiation	England	 	Ouzounoglou, Eleftherios  and Dionysiou, Dimitra  and Stamatakos, Georgios S.	 	 	 	10.1186/s12918-016-0264-5	 	 	 	 	 	BMC Systems Biology	March	 	 	 	23	 	 	 	Differentiation resistance through altered retinoblastoma protein function in acute lymphoblastic leukemia: in silico modeling of the deregulations in the G1/S restriction point pathway	 		10	2016
calderone2016comparing	England	 	Calderone, Alberto  and Formenti, Matteo  and Aprea, Federica  and Papa, Michele  and Alberghina, Lilia  and Colangelo, Anna Maria  and Bertolazzi, Paola	 	 	 	10.1186/s12918-016-0270-7	 	 	 	 	 	BMC Systems Biology	March	 	 	 	25	 	 	 	Comparing Alzheimer's and Parkinson's diseases networks using graph communities structure	 		10	2016
brunk2016systems	England	 	Brunk, Elizabeth  and Mih, Nathan  and Monk, Jonathan  and Zhang, Zhen  and O'Brien, Edward J.  and Bliven, Spencer E.  and Chen, Ke  and Chang, Roger L.  and Bourne, Philip E.  and Palsson, Bernhard O.	 	 	 	10.1186/s12918-016-0271-6	 	 	 	 	 	BMC Systems Biology	March	 	 	 	26	 	 	 	Systems biology of the structural proteome	 		10	2016
boada2016multi	England	 	Boada, Yadira  and Reynoso-Meza, Gilberto  and Pic\'{o}, Jes\'{u}s  and Vignoni, Alejandro	 	 	 	10.1186/s12918-016-0269-0	 	 	 	 	 	BMC Systems Biology	March	 	 	 	27	 	 	 	Multi-objective optimization framework to obtain model-based guidelines for tuning biological synthetic devices: an adaptive network case	 		10	2016
kolczyk2016challenges	England	 	Kolczyk, Katrin  and Conradi, Carsten	 	 	 	10.1186/s12918-016-0266-3	 	 	 	 	 	BMC Systems Biology	March	 	 	 	28	 	 	 	Challenges in horizontal model integration	 		10	2016
tanevski2016learning	England	 	Tanevski, Jovan  and Todorovski, Ljup\v{c}o  and Deroski, Sa\u so	 	 	 	10.1186/s12918-016-0273-4	 	 	 	 	 	BMC Systems Biology	March	 	 	 	30	 	 	 	Learning stochastic process-based models of dynamical systems from knowledge and data	 		10	2016
di2016a	England	 	Di Camillo, Barbara  and Carlon, Azzurra  and Eduati, Federica  and Toffolo, Gianna Maria	 	 	 	10.1186/s12918-016-0281-4	 	 	 	 	 	BMC Systems Biology	June	 	1	 	38	 	 	 	A rule-based model of insulin signalling pathway	 		10	2016
rougny2016qualitative	England	 	Rougny, Adrien  and Froidevaux, Christine  and Calzone, Laurence  and Paulev\'{e}, Lo\"ic	 	 	 	10.1186/s12918-016-0285-0	 	 	 	 	 	BMC Systems Biology	June	 	1	 	42	 	 	 	Qualitative dynamics semantics for {SBGN} process description	 		10	2016
lewis2016where	 	 	Lewis, Joanna  and Breeze, Charles E.  and Charlesworth, Jane  and Maclaren, Oliver J.  and Cooper, Jonathan	 	 	 	10.1186/s12918-016-0288-x	 	 	 	 	 	BMC Systems Biology	July	 	1	 	52	BioMed Central	 	 	Where next for the reproducibility agenda in computational biology?	 		10	2016
schivo2016modelling	England	 	Schivo, Stefano  and Scholma, Jetse  and van der Vet, Paul E.  and Karperien, Marcel  and Post, Janine N.  and van de Pol, Jaco  and Langerak, Rom	 	 	 	10.1186/s12918-016-0286-z	 	 	 	 	 	BMC Systems Biology	July	 	1	 	56	 	 	 	Modelling with ANIMO: between fuzzy logic and differential equations	 		10	2016
gan2016analysis	England	 	Gan, Xiao  and Albert, R\'{e}ka	 	 	 	10.1186/s12918-016-0327-7	 	 	 	 	 	BMC Systems Biology	August	 	1	 	78	 	 	 	Analysis of a dynamic model of guard cell signaling reveals the stability of signal propagation	 		10	2016
sokolenko2016identifying	England	 	Sokolenko, Stanislav  and Quattrociocchi, Marco  and Aucoin, Marc G.	 	 	 	10.1186/s12918-016-0335-7	 	 	 	 	 	BMC Systems Biology	September	 	1	 	91	 	 	 	Identifying model error in metabolic flux analysis - a generalized least squares approach	 		10	2016
beckers2016silico	 	 	Beckers, Veronique  and Dersch, Lisa Maria  and Lotz, Katrin  and Melzer, Guido  and Bl\"{a}sing, Oliver Ernst  and Fuchs, Regine  and Ehrhardt, Thomas  and Wittmann, Christoph	 	 	 	10.1186/s12918-016-0347-3	 	 	 	 	 	BMC Systems Biology	 	 	1	 	102	BioMed Central	 	 	In silico metabolic network analysis of Arabidopsis leaves	 		10	2016
leon2016computational	 	 	Leon, Miriam  and Woods, Mae L.  and Fedorec, Alex JH  and Barnes, Chris P.	 	 	 	10.1186/s12918-016-0375-z	 	 	 	 	 	BMC Systems Biology	 	 	1	 	130	BioMed Central	 	 	A computational method for the investigation of multistable systems and its application to genetic switches	 		10	2016
naz2016reasoning	England	 	Naz, Mufassra  and Kodamullil, Alpha Tom  and Hofmann-Apitius, Martin	 	 	 	10.1093/bib/bbv063	 	 	 	 	 	Briefings in Bioinformatics	May	 	3	 	505-16	 	 	 	Reasoning over genetic variance information in cause-and-effect models of neurodegenerative diseases	 		17	2016
pfau2016towards	England	 	Pfau, Thomas  and Pacheco, Maria Pires  and Sauter, Thomas	 	 	 	10.1093/bib/bbv100	 	 	 	 	 	Briefings in Bioinformatics	November	 	6	 	1060-1069	 	 	 	Towards improved genome-scale metabolic network reconstructions: unification, transcript specificity and beyond	 		17	2016
henkel2016notions	 	 	Henkel, Ron  and Hoehndorf, Robert  and Kacprowski, Tim  and Kn\"{u}pfer, Christian  and Liebermeister, Wolfram  and Waltemath, Dagmar	 	 	 	10.1093/bib/bbw090	 	 	 	 	 	Briefings in Bioinformatics	October	 	 	 	bbw090	Oxford University Press	 	 	Notions of similarity for systems biology models	 		 	2016
levin2016scientists	 	 	Levin, Nadine  and Leonelli, Sabina  and Weckowska, Dagmara  and Castle, David  and Dupr\'{e}, John	 	 	 	10.1177/0270467616668760	 	 	 	 	 	Bulletin of Science, Technology \& Society	June	 	2	 	128	SAGE Publications	 	 	How Do Scientists Define Openness? Exploring the Relationship Between Open Science Policies and Research Practice	 		36	2016
knight2016the	 	 	Knight-Schrijver, V.R. R. and Chelliah, V.  and Cucurull-Sanchez, L.  and Le Nov\`{e}re, N.	 	 	 	10.1016/j.csbj.2016.09.002	 	 	 	 	 	Computational and Structural Biotechnology Journal	 	 	 	 	363-370	Elsevier BV	 	 	The promises of quantitative systems pharmacology modelling for drug\udotdevelopment	 		14	2016
gadkar2016a	United States	 	Gadkar, K.  and Kirouac, D. {C}.  and Mager, D. E.  and van der Graaf, P. H.  and Ramanujan, S.	 	 	 	10.1002/psp4.12071	 	 	 	 	 	CPT: Pharmacometrics \& Systems Pharmacology	May	 	5	 	235-49	 	 	 	A Six-Stage Workflow for Robust Application of Systems Pharmacology	 		5	2016
prejzendanc2016computer	 	 	Prejzendanc, Tomasz  and Wasik, Szymon  and Blazewicz, Jacek	 	 	 	 	 	 	 	 	 	Current Bioinformatics	 	 	5	 	551-560	Bentham Science Publishers	 	 	Computer Representations of Bioinformatics Models	 		11	2016
cook2016disease	 	 	Cook, Sarah F.  and Bies, Robert R.	 	 	 	10.1007/s40495-016-0066-x	 	 	 	 	 	Current Pharmacology Reports	August	 	5	 	221-230	Springer Nature	 	 	Disease Progression Modeling: Key Concepts and Recent Developments	 		2	2016
choi2016coreference	England	 	Choi, Miji  and Liu, Haibin  and Baumgartner, William  and Zobel, Justin  and Verspoor, Karin	 	 	 	10.1093/database/baw076	 	 	 	 	 	Database	 	 	 	 	 	 	 	 	Coreference resolution improves extraction of Biological Expression Language statements from texts	 		2016	2016
madan2016the	England	 	Madan, Sumit  and Hodapp, Sven  and Senger, Philipp  and Ansari, Sam  and Szostak, Justyna  and Hoeng, Julia  and Peitsch, Manuel  and Fluck, Juliane	 	 	 	10.1093/database/baw136	 	 	 	 	 	Database	 	 	 	 	 	 	 	 	The BEL information extraction workflow (BELIEF): evaluation in the BioCreative V BEL and IAT track	 		2016	2016
yao2016gesdb	England	 	Yao, Po-Ju J. and Chung, Ren-Hua H.	 	 	 	10.1093/database/baw082	 	 	 	 	 	Database	 	 	 	 	 	 	 	 	GESDB: a platform of simulation resources for genetic epidemiology studies	 		2016	2016
burns2016automated	England	 	Burns, Gully A. P. {C}.  and Dasigi, Pradeep  and de Waard, Anita  and Hovy, Eduard H.	 	 	 	10.1093/database/baw122	 	 	 	 	 	Database	 	 	 	 	 	 	 	 	Automated detection of discourse segment and experimental types from the text of cancer pathway results sections	 		2016	2016
rastegar2016beltracker	England	 	Rastegar-Mojarad, Majid  and Komandur Elayavilli, Ravikumar  and Liu, Hongfang	 	 	 	10.1093/database/baw079	 	 	 	 	 	Database	 	 	 	 	 	 	 	 	BELTracker: evidence sentence retrieval for BEL statements	 		2016	2016
rinaldi2016biocreative	England	 	Rinaldi, Fabio  and Ellendorff, Tilia Renate  and Madan, Sumit  and Clematide, Simon  and van der Lek, Adrian  and Mevissen, Theo  and Fluck, Juliane	 	 	 	10.1093/database/baw067	 	 	 	 	 	Database	 	 	 	 	 	 	 	 	BioCreative V track 4: a shared task for the extraction of causal network information using the Biological Expression Language	 		2016	2016
fluck2016training	 	 	Fluck, Juliane  and Madan, Sumit  and Ansari, Sam  and Karki, Reagon  and Rastegar-Mojarad, Majid  and Catlett, Natalie L.  and Hayes, William  and Szostak, Justyna  and Hoeng, Julia  and Peitsch, Manuel	 	 	 	10.1093/database/baw113	 	 	 	 	 	Database	 	 	 	 	baw113	Oxford University Press	 	 	Training and evaluation corpora for the extraction of causal relationships encoded in biological expression language (BEL)	 		2016	2016
amorim2016transcription	 	 	Amorim, Lidiane L. Barbosa  and Bezerra-Neto, Jo\~{a}o Pac\'{i}fico  and do Santos, R\^{o}mulo da Fonseca  and Neto, Jos\'{e} Ribamar Costa Ferreira  and Kido, Ederson Akio  and Matos, Mitalle  and Benko-Iseppon, Ana Maria	Drought Stress Tolerance in Plants, Vol 2	 	 	 	 	 	 	 	 	 	 	 	 	 	315-358	Springer	 	 	Transcription Factors Involved in Plant Drought Tolerance Regulation	 		 	2016
zaytsev2016bistability	 	 	Zaytsev, Anatoly V.  and Segura-Pe\~{n}a, Dario  and Godzi, Maxim  and Calderon, Abram  and Ballister, Edward R.  and Stamatov, Rumen  and Mayo, Alyssa M.  and Peterson, Laura  and Black, Ben E.  and Ataullakhanov, Fazly {I}.	 	 	 	 	 	 	 	 	 	e{L}ife	 	 	 	 	e10644	e{L}ife Sciences Publications Limited	 	 	Bistability of a coupled Aurora B kinase-phosphatase system in cell division	 		5	2016
